"AllocatedMethodId","AllocatedResourceId","AllocatedResourceName","AllocatedTags","BilledCost","BillingAccountId","BillingAccountName","BillingAccountType","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","CapacityReservationId","CapacityReservationStatus","ChargeCategory","ChargeClass","ChargeDescription","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountQuantity","CommitmentDiscountStatus","CommitmentDiscountType","CommitmentDiscountUnit","ConsumedQuantity","ConsumedUnit","ContractApplied","ContractedCost","ContractedUnitPrice","EffectiveCost","HostProviderName","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingCurrency","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","ServiceProviderName","SkuId","SkuMeter","SkuPriceDetails","SkuPriceId","SubAccountId","SubAccountName","SubAccountType","Tags","AllocatedMethodDetails","AvailabilityZone","ChargeFrequency","InvoiceId","ServiceSubcategory","PricingCurrencyContractedUnitPrice","PricingCurrencyEffectiveCost","PricingCurrencyListUnitPrice"
"AllocatedMethodId-5513","AllocatedResourceId-4125","AllocatedResourceName-7944","{}",481.6377,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Tax",NULL,"Tax charge in Australia East (Sydney)","2024-09-10T04:00:00Z","2024-09-10T03:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,481.6377,NULL,481.6377,"Oracle","Oracle",481.6377,NULL,NULL,"USD",NULL,NULL,"Oracle","Oracle",NULL,NULL,NULL,NULL,NULL,"Other","Tax","Oracle",NULL,NULL,NULL,NULL,"ocid1.compartment.oc1..prod","production","Tenancy","{""team"": ""platform""}",NULL,NULL,"One-Time","INV-202409-28596","Other (Security)",NULL,481.6377,NULL
"AllocatedMethodId-7933","AllocatedResourceId-6050","AllocatedResourceName-2063","{}",8.53846944,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Functions Function in Singapore","2024-09-17T13:00:00Z","2024-09-17T12:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,106.0100000000,"Invocations",NULL,8.894239,0.0839,8.53846944,"Google","Google",14.343153000000001,0.1353,"Standard","USD",106.01,"Invocations","Google","Google","asia-southeast1","Singapore","//compute.googleapis.com/projects/helios-labs/zones/asia-southeast1-a/instances/inst-4556",NULL,"Function","Compute","Cloud Functions","Google","1HXK4O95RDKD2F11","Cloud Functions Invocations",NULL,"B0OIIS7GVUQKAOSC.PDHBXZ52","proj-helios-dev","helios-dev","BillingAccount",NULL,NULL,NULL,"Usage-Based","INV-202409-58308","Serverless Compute",0.0839,8.53846944,0.1353
"AllocatedMethodId-4755","AllocatedResourceId-6441","AllocatedResourceName-2305","{}",462.103005,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"BigQuery Dataset in Singapore","2024-09-13T04:00:00Z","2024-09-13T03:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,125.6500000000,"GiB",NULL,502.28587500000003,3.9975,462.103005,"Google","Google",528.7226350000001,4.2079,"Standard","USD",125.65,"GiB","Google","Google","asia-southeast1","Singapore","//compute.googleapis.com/projects/helios-labs/zones/asia-southeast1-a/instances/inst-83",NULL,"Dataset","Analytics","BigQuery","Google","6HCNB09OG2ZRF5K1","BigQuery GiB",NULL,"7C8A7GX2GJBGVD3F.M6C02GPD","proj-helios-dev","helios-dev","BillingAccount",NULL,NULL,"us-central1-a","Usage-Based","INV-202409-70548","Data Warehouses",3.9975,462.103005,4.2079
"AllocatedMethodId-5303","AllocatedResourceId-4865","AllocatedResourceName-9910","{}",253.11265,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Relational Database Service Database Instance in Europe (Ireland)","2024-09-12T19:00:00Z","2024-09-12T18:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.5000000000,"Hours",NULL,304.955,3.4852,253.11265,"AWS","AWS",308.035,3.5204,"Dynamic","USD",87.50,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00a6674fc1a2",NULL,"Database Instance","Databases","Amazon Relational Database Service","AWS","AVMMZK2Q1Z1JFWE7","Amazon Relational Database Service Hours",NULL,"PI4BCDRZ01GTVBEH.D253HQCB","663626350770","Zenith Apollo","BillingAccount","{""owner"": ""a.turing"", ""business_unit"": ""LisbonOps"", ""team"": ""growth""}",NULL,"us-west-2b","Usage-Based","INV-202409-95865","Relational Databases",3.4852,253.11265,3.5204
"AllocatedMethodId-8655","AllocatedResourceId-1835","AllocatedResourceName-9447","{}",106.2300204,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"AWS Lambda Function in Europe (Ireland)","2024-09-01T04:00:00Z","2024-09-01T03:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,32.9000000000,"Requests",NULL,126.46431,3.8439,106.2300204,"AWS","AWS",129.04367,3.9223,"Other","USD",32.90,"Requests","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00bac6a0a5dc",NULL,"Function","Compute","AWS Lambda","AWS","OEM32H0Y9SG0YGJN","AWS Lambda Requests",NULL,"5SD54RPOLU1LN6SH.2AEQK1IB","663626350770","Zenith Apollo","BillingAccount","{""owner"": ""a.turing"", ""cost_center"": ""CC-2042""}",NULL,NULL,"Usage-Based","INV-202409-38094","Serverless Compute",3.8439,106.2300204,3.9223
"AllocatedMethodId-7606","AllocatedResourceId-2499","AllocatedResourceName-2376","{}",702.44668764,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Load Balancer Load Balancer in US East (Ashburn)","2024-09-04T20:00:00Z","2024-09-04T19:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,330.3800000000,"Hours",NULL,816.798474,2.4723,702.44668764,"Oracle","Oracle",1089.064632,3.2964,"Standard","USD",330.38,"Hours","Oracle","Oracle","us-ashburn-1","US East (Ashburn)","ocid1.instance.oc1.us-ashburn-1.001d3ede911a",NULL,"Load Balancer","Networking","Oracle Load Balancer","Oracle","86S6BE8ZQT8IKH2W","Oracle Load Balancer Hours",NULL,"76O26X2A8LDBQ8C0.4U4FLMYF","ocid1.compartment.oc1..prod","production","Tenancy","{""application"": ""NimbusAPI"", ""environment"": ""dev"", ""business_unit"": ""ViennaAI""}",NULL,"uk-london-1-AD-2","Usage-Based","INV-202409-49263","Application Networking",2.4723,702.44668764,3.2964
"AllocatedMethodId-8273","AllocatedResourceId-1190","AllocatedResourceName-3505","{}",592.86983692,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Azure Functions Function App in UK South","2024-09-26T05:00:00Z","2024-09-26T04:00:00Z","Usage","cd-888693","commit-8693",NULL,"Unused","Committed Use Discount",NULL,NULL,NULL,NULL,750.4681479999999,2.2388,592.86983692,"Microsoft","Microsoft",938.085185,2.7985,"Committed","USD",335.21,"Executions","Microsoft","Microsoft","uksouth","UK South","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-920/providers/Microsoft.Compute/virtualMachines/vm-9651",NULL,"Function App","Compute","Azure Functions","Microsoft","HQF1HW1C59PL5S99","Azure Functions Executions",NULL,"OVYWG3ZLSC0SYY8P.Q1BR26TJ","sub-4d3e","Sandbox","BillingProfile","{""business_unit"": ""ViennaAI""}",NULL,NULL,"Usage-Based","INV-202409-18488","Serverless Compute",2.2388,592.86983692,2.7985
"AllocatedMethodId-3712","AllocatedResourceId-6903","AllocatedResourceName-5561","{}",425.4874546,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Compute Engine VM Instance in Northern Virginia","2024-09-07T20:00:00Z","2024-09-07T19:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,412.7600000000,"Hours",NULL,654.596084,1.5859,425.4874546,"Google","Google",839.223632,2.0332,"Standard","USD",412.76,"Hours","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/helios-labs/zones/us-east4-a/instances/inst-5359",NULL,"VM Instance","Compute","Compute Engine","Google","C1IQZ4J72E1BEFTE","Compute Engine Hours",NULL,"NHPWKN0GON40AVLP.CQU96GZV","proj-helios-prod","helios-prod","BillingAccount","{""business_unit"": ""LisbonOps""}",NULL,NULL,"Usage-Based","INV-202409-12874","Virtual Machines",1.5859,425.4874546,2.0332
"AllocatedMethodId-6575","AllocatedResourceId-5279","AllocatedResourceName-6137","{}",725.55889385,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"BigQuery Dataset in Belgium","2024-09-06T08:00:00Z","2024-09-06T07:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,325.1500000000,"GiB",NULL,1021.9139349999999,3.1429,725.55889385,"Google","Google",1419.34478,4.3652,"Standard","USD",325.15,"GiB","Google","Google","europe-west1","Belgium","//compute.googleapis.com/projects/helios-labs/zones/europe-west1-a/instances/inst-8773",NULL,"Dataset","Analytics","BigQuery","Google","E7IQ88C88AZ39JGR","BigQuery GiB",NULL,"F2R07GOULZYQ818P.Z92T6YTF","proj-helios-dev","helios-dev","BillingAccount","{""team"": ""infra""}",NULL,NULL,"Usage-Based","INV-202409-52903","Data Warehouses",3.1429,725.55889385,4.3652
"AllocatedMethodId-8140","AllocatedResourceId-5294","AllocatedResourceName-3651","{}",60.3670244,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Credit",NULL,"Amazon Elastic Compute Cloud Virtual Machine in US East (N. Virginia)","2024-09-06T19:00:00Z","2024-09-06T18:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.57705999999999,2.7842,60.3670244,"AWS","AWS",100.71289,3.4373,"Standard","USD",29.30,"Hours","AWS","AWS","us-east-1","US East (N. Virginia)",NULL,NULL,NULL,"Compute","Amazon Elastic Compute Cloud","AWS","1DO89ZN0UP0IG6QU","Amazon Elastic Compute Cloud Hours",NULL,"XDY5ADBTIT7QLDSY.YR91150D","663626350770","Zenith Apollo","BillingAccount","{""application"": ""BrightLensMatrix"", ""business_unit"": ""LisbonOps"", ""owner"": ""a.lovelace""}",NULL,NULL,"One-Time","INV-202409-52844","Virtual Machines",2.7842,60.3670244,3.4373
"AllocatedMethodId-7103","AllocatedResourceId-9247","AllocatedResourceName-5115","{}",31.52716056,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Relational Database Service Database Instance in Europe (Ireland)","2024-09-16T13:00:00Z","2024-09-16T12:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,268.7600000000,"Hours",NULL,32.170572,0.1197,31.52716056,"AWS","AWS",39.23896,0.1460,"Standard","USD",268.76,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-007610b72af9",NULL,"Database Instance","Databases","Amazon Relational Database Service","AWS","QZYIL0VSDGZVWODA","Amazon Relational Database Service Hours",NULL,"1KLHLJSL2144TZIU.EYBGFLRG","438839167390","Zenith Eclipse","BillingAccount","{""cost_center"": ""CC-3090""}",NULL,"us-west-2b","Usage-Based","INV-202409-22097","Relational Databases",0.1197,31.52716056,0.1460
"AllocatedMethodId-7019","AllocatedResourceId-5672","AllocatedResourceName-8654","{}",315.56386476,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Compute Instance in US East (Ashburn)","2024-09-05T15:00:00Z","2024-09-05T14:00:00Z","Usage","cd-705908","commit-5908",NULL,"Used","Savings Plan",NULL,240.6100000000,"Hours",NULL,464.06450700000005,1.9287,315.56386476,"Oracle","Oracle",594.956347,2.4727,"Dynamic","USD",240.61,"Hours","Oracle","Oracle","us-ashburn-1","US East (Ashburn)","ocid1.instance.oc1.us-ashburn-1.00e6ebf1ce56",NULL,"Instance","Compute","Oracle Compute","Oracle","1EJHKDN7QO4VO1WY","Oracle Compute Hours",NULL,"8D39WKXQ6LTIH9O6.UQXRDC1Q","ocid1.compartment.oc1..prod","production","Tenancy","{""team"": ""infra"", ""environment"": ""staging""}",NULL,NULL,"Usage-Based","INV-202409-50042","Virtual Machines",1.9287,315.56386476,2.4727
"AllocatedMethodId-7493","AllocatedResourceId-8217","AllocatedResourceName-8768","{}",205.06101889,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Load Balancing Forwarding Rule in Belgium","2024-09-04T07:00:00Z","2024-09-04T06:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.0900000000,"Hours",NULL,225.341779,2.9231,205.06101889,"Google","Google",274.802723,3.5647,"Standard","USD",77.09,"Hours","Google","Google","europe-west1","Belgium","//compute.googleapis.com/projects/helios-labs/zones/europe-west1-a/instances/inst-5206",NULL,"Forwarding Rule","Networking","Cloud Load Balancing","Google","PSK5KBM98YKE4WA8","Cloud Load Balancing Hours",NULL,"DEYPCQVMCYOU86JR.OVOTACG6","proj-helios-prod","helios-prod","BillingAccount","{""owner"": ""a.lovelace"", ""cost_center"": ""CC-2042""}",NULL,"europe-west1-b","Usage-Based","INV-202409-19060","Application Networking",2.9231,205.06101889,3.5647
"AllocatedMethodId-9543","AllocatedResourceId-4857","AllocatedResourceName-4903","{}",1517.6918064,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Functions Function in Iowa","2024-09-15T18:00:00Z","2024-09-15T17:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,458.4000000000,"Invocations",NULL,1971.0283200000001,4.2998,1517.6918064,"Google","Google",2190.0518399999996,4.7776,"Standard","USD",458.40,"Invocations","Google","Google","us-central1","Iowa","//compute.googleapis.com/projects/helios-labs/zones/us-central1-a/instances/inst-1119",NULL,"Function","Compute","Cloud Functions","Google","UPHJ8366Q8Y176JD","Cloud Functions Invocations",NULL,"TU4I4GR2IQYOCF8Y.QLRIN9O2","proj-helios-dev","helios-dev","BillingAccount","{""business_unit"": ""MarseilleSRE"", ""application"": ""NimbusAPI"", ""team"": ""platform""}",NULL,"asia-southeast1-c","Usage-Based","INV-202409-31329","Serverless Compute",4.2998,1517.6918064,4.7776
"AllocatedMethodId-7899","AllocatedResourceId-3265","AllocatedResourceName-4194","{}",159.74001448,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Simple Storage Service Bucket in US East (N. Virginia)","2024-09-29T04:00:00Z","2024-09-29T03:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,459.9800000000,"GB",NULL,234.91178600000003,0.5107,159.74001448,"AWS","AWS",361.40628599999997,0.7857,"Dynamic","USD",459.98,"GB","AWS","AWS","us-east-1","US East (N. Virginia)","arn:aws:ec2:us-east-1:123456789012:instance/i-00e753edbef7",NULL,"Bucket","Storage","Amazon Simple Storage Service","AWS","HALOLABE7Y31YHCB","Amazon Simple Storage Service GB",NULL,"694YHA9FSMXYFSDP.9SUPF6D4","663626350770","Zenith Apollo","BillingAccount","{""owner"": ""g.hopper""}",NULL,"us-east-1a","Usage-Based","INV-202409-46223","Object Storage",0.5107,159.74001448,0.7857
"AllocatedMethodId-3307","AllocatedResourceId-7191","AllocatedResourceName-9753","{}",1345.6862334,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud SQL Database Instance in Northern Virginia","2024-09-29T21:00:00Z","2024-09-29T20:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,366.6700000000,"Hours",NULL,1495.206926,4.0778,1345.6862334,"Google","Google",1823.4132430000002,4.9729,"Standard","USD",366.67,"Hours","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/helios-labs/zones/us-east4-a/instances/inst-6228",NULL,"Database Instance","Databases","Cloud SQL","Google","Y2EVBC11Y1RFEAZX","Cloud SQL Hours",NULL,"TFFOSA28UGZR4C7A.X9M109MS","proj-helios-dev","helios-dev","BillingAccount",NULL,NULL,NULL,"Usage-Based","INV-202409-82608","Relational Databases",4.0778,1345.6862334,4.9729
"AllocatedMethodId-4029","AllocatedResourceId-2222","AllocatedResourceName-2582","{}",353.6941226,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Object Storage Bucket in UK South (London)","2024-09-01T16:00:00Z","2024-09-01T15:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,279.0200000000,"GB",NULL,544.1448039999999,1.9502,353.6941226,"Oracle","Oracle",725.507804,2.6002,"Dynamic","USD",279.02,"GB","Oracle","Oracle","uk-london-1","UK South (London)","ocid1.instance.oc1.uk-london-1.0045b639bfdb",NULL,"Bucket","Storage","Oracle Object Storage","Oracle","X3E3YBPIBFI1W379","Oracle Object Storage GB",NULL,"LYATF9AXIE3XV6UH.353SFI5S","ocid1.compartment.oc1..dev","development","Tenancy","{""team"": ""growth"", ""cost_center"": ""CC-1001"", ""application"": ""AtlasPortal""}",NULL,NULL,"Usage-Based","INV-202409-60475","Object Storage",1.9502,353.6941226,2.6002
"AllocatedMethodId-1082","AllocatedResourceId-1957","AllocatedResourceName-2457","{}",65.04368304,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Azure SQL Database SQL Database in East US","2024-09-26T07:00:00Z","2024-09-26T06:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,133.1400000000,"Hours",NULL,82.33377599999999,0.6184,65.04368304,"Microsoft","Microsoft",108.33601799999998,0.8137,"Dynamic","USD",133.14,"Hours","Microsoft","Microsoft","eastus","East US","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-528/providers/Microsoft.Compute/virtualMachines/vm-7371",NULL,"SQL Database","Databases","Azure SQL Database","Microsoft","XRIG9WSX5CU16IAJ","Azure SQL Database Hours",NULL,"IX5ABDEZOV0RD3KN.IR4L6K9U","sub-4d3e","Sandbox","BillingProfile",NULL,NULL,"uksouth-1","Usage-Based","INV-202409-46699","Relational Databases",0.6184,65.04368304,0.8137
"AllocatedMethodId-1966","AllocatedResourceId-2498","AllocatedResourceName-2903","{}",51.6552582,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Tax",NULL,"Tax charge in Australia East (Sydney)","2024-09-07T21:00:00Z","2024-09-07T20:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51.6552582,NULL,51.6552582,"Oracle","Oracle",51.6552582,NULL,NULL,"USD",NULL,NULL,"Oracle","Oracle",NULL,NULL,NULL,NULL,NULL,"Other","Tax","Oracle",NULL,NULL,NULL,NULL,"ocid1.compartment.oc1..prod","production","Tenancy","{""application"": ""BrightLensMatrix"", ""team"": ""platform""}",NULL,NULL,"One-Time","INV-202409-56062","Other (Security)",NULL,51.6552582,NULL
"AllocatedMethodId-1743","AllocatedResourceId-3518","AllocatedResourceName-6763","{}",782.798359,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Purchase",NULL,"Compute Engine VM Instance in Belgium","2024-09-05T16:00:00Z","2024-09-05T15:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,782.798359,3.6629,0,"Google","Google",798.783867,3.7377,"Standard","USD",213.71,"Hours","Google","Google","europe-west1","Belgium","//compute.googleapis.com/projects/helios-labs/zones/europe-west1-a/instances/inst-7081",NULL,"VM Instance","Compute","Compute Engine","Google","E1UAA4QF6T9USOJ7","Compute Engine Hours",NULL,"309N0WIQR4H0F6J4.MT8FNECQ","proj-helios-dev","helios-dev","BillingAccount","{""application"": ""BrightSourceCore"", ""cost_center"": ""CC-1001""}",NULL,NULL,"One-Time","INV-202409-53553","Virtual Machines",3.6629,0,3.7377
"AllocatedMethodId-1557","AllocatedResourceId-9861","AllocatedResourceName-6460","{}",1053.35814558,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Object Storage Bucket in Australia East (Sydney)","2024-09-03T23:00:00Z","2024-09-03T22:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,485.4100000000,"GB",NULL,1350.459161,2.7821,1053.35814558,"Oracle","Oracle",1902.0305440000002,3.9184,"Standard","USD",485.41,"GB","Oracle","Oracle","ap-sydney-1","Australia East (Sydney)","ocid1.instance.oc1.ap-sydney-1.0086d427efde",NULL,"Bucket","Storage","Oracle Object Storage","Oracle","C12M9OQT86M9TLUO","Oracle Object Storage GB",NULL,"YTZI8DVVD22RDZX2.VWFXZKNL","ocid1.compartment.oc1..prod","production","Tenancy","{""business_unit"": ""MarseilleSRE""}",NULL,"us-ashburn-1-AD-1","Usage-Based","INV-202409-11275","Object Storage",2.7821,1053.35814558,3.9184
"AllocatedMethodId-8580","AllocatedResourceId-9315","AllocatedResourceName-7355","{}",409.30349568,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Tax",NULL,"Tax charge in Iowa","2024-09-27T21:00:00Z","2024-09-27T20:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,409.30349568,NULL,409.30349568,"Google","Google",409.30349568,NULL,NULL,"USD",NULL,NULL,"Google","Google",NULL,NULL,NULL,NULL,NULL,"Other","Tax","Google",NULL,NULL,NULL,NULL,"proj-helios-dev","helios-dev","BillingAccount",NULL,NULL,NULL,"One-Time","INV-202409-23122","Other (Security)",NULL,409.30349568,NULL
"AllocatedMethodId-4542","AllocatedResourceId-5981","AllocatedResourceName-1199","{}",44.41326552,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Elastic Load Balancing Load Balancer in US East (N. Virginia)","2024-09-15T01:00:00Z","2024-09-15T00:00:00Z","Usage","cd-851919","commit-1919",NULL,"Unused","Reserved Instance",NULL,NULL,NULL,NULL,66.288456,0.1944,44.41326552,"AWS","AWS",92.0673,0.2700,"Dynamic","USD",340.99,"LCU-Hours","AWS","AWS","us-east-1","US East (N. Virginia)","arn:aws:ec2:us-east-1:123456789012:instance/i-0039f32e55d1",NULL,"Load Balancer","Networking","Elastic Load Balancing","AWS","L2UWDAK0DFUHVNLW","Elastic Load Balancing LCU-Hours",NULL,"Q2VC2SC5G2MI39DW.XBOEDAZS","517389287820","Atlas Nimbus","BillingAccount","{""owner"": ""g.hopper"", ""application"": ""BrightLensMatrix""}",NULL,NULL,"Usage-Based","INV-202409-98806","Application Networking",0.1944,44.41326552,0.2700
"AllocatedMethodId-7143","AllocatedResourceId-4686","AllocatedResourceName-1336","{}",662.24771184,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Azure Load Balancer Load Balancer in East US","2024-09-12T21:00:00Z","2024-09-12T20:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,439.1400000000,"Hours",NULL,752.554218,1.7137,662.24771184,"Microsoft","Microsoft",940.681794,2.1421,"Standard","USD",439.14,"Hours","Microsoft","Microsoft","eastus","East US","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-954/providers/Microsoft.Compute/virtualMachines/vm-946",NULL,"Load Balancer","Networking","Azure Load Balancer","Microsoft","GOVL8WWPXVJCXYEC","Azure Load Balancer Hours",NULL,"D05ABZ19DE8Y24QC.P46RINMS","sub-9a1f","Production","BillingProfile",NULL,NULL,NULL,"Usage-Based","INV-202409-50207","Application Networking",1.7137,662.24771184,2.1421
"AllocatedMethodId-9897","AllocatedResourceId-8391","AllocatedResourceName-6296","{}",4.68620614,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Adjustment",NULL,"Amazon Simple Queue Service Queue in Asia Pacific (Sydney)","2024-09-17T03:00:00Z","2024-09-17T02:00:00Z","Spend","cd-617189","commit-7189",NULL,"Unused","Savings Plan",NULL,NULL,NULL,NULL,6.332711000000001,0.0379,4.68620614,"AWS","AWS",6.733727000000001,0.0403,"Standard","USD",167.09,"Requests","AWS","AWS","ap-southeast-2","Asia Pacific (Sydney)",NULL,NULL,NULL,"Integration","Amazon Simple Queue Service","AWS","8QLDLJOOTVGEACC0","Amazon Simple Queue Service Requests",NULL,"CWPA8906QPAJHFYZ.2OIASV3V","438839167390","Zenith Eclipse","BillingAccount","{""environment"": ""prod"", ""business_unit"": ""LisbonOps""}",NULL,NULL,"One-Time","INV-202409-83737","Messaging",0.0379,4.68620614,0.0403
"AllocatedMethodId-8152","AllocatedResourceId-4464","AllocatedResourceName-9774","{}",115.98786122,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Adjustment",NULL,"Virtual Machines Virtual Machine in West Europe","2024-09-26T08:00:00Z","2024-09-26T07:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150.633586,0.7622,115.98786122,"Microsoft","Microsoft",228.223124,1.1548,"Standard","USD",197.63,"Hours","Microsoft","Microsoft","westeurope","West Europe",NULL,NULL,NULL,"Compute","Virtual Machines","Microsoft","AJ3XW7LEQ33BIA2H","Virtual Machines Hours",NULL,"FWKO9ALM1KGKEW7H.75AXG1GH","sub-4d3e","Sandbox","BillingProfile",NULL,NULL,NULL,"One-Time","INV-202409-75946","Virtual Machines",0.7622,115.98786122,1.1548
