"BilledCost","BillingAccountId","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","ChargeCategory","InvoiceDetailCreated","InvoiceDetailDescription","InvoiceDetailGrain","InvoiceDetailId","InvoiceDetailLastUpdated","InvoiceId","InvoiceIssueDate","InvoiceIssueStatus","InvoiceIssuerName","PaymentCurrency","PaymentCurrencyBilledCost","PaymentCurrencyInvoiceDetailId","PaymentDueDate","PaymentTerms","PurchaseOrderNumber","ReferenceInvoiceId"
7176.629113,"billingaccount-274739","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-22T00:00:00Z","InvoiceDetailDescription 6759","{}","invoicedetail-568849","2024-10-05T00:00:00Z","invoice-144412","2024-10-05T00:00:00Z","Voided","Google","USD",8700.371751,"invoicedetail-568849","2024-10-31T00:00:00Z","Net 60","PO-744718","referenceinvoice-556068"
5130.860195,"billingaccount-886325","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-30T00:00:00Z","InvoiceDetailDescription 1510","{}","invoicedetail-249715","2024-10-02T00:00:00Z","invoice-989894","2024-10-05T00:00:00Z","Voided","Google","USD",6780.88872,"invoicedetail-249715","2024-10-23T00:00:00Z","Net 60","PO-136489","referenceinvoice-232361"
3828.544017,"billingaccount-694799","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-24T00:00:00Z","InvoiceDetailDescription 3513","{}","invoicedetail-812048","2024-10-11T00:00:00Z","invoice-571778","2024-10-04T00:00:00Z","Issued","AWS","USD",3720.133785,"invoicedetail-812048","2024-10-22T00:00:00Z","Net 30","PO-701800","referenceinvoice-244383"
9605.200523,"billingaccount-127172","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-19T00:00:00Z","InvoiceDetailDescription 9176","{}","invoicedetail-642895","2024-10-06T00:00:00Z","invoice-505785","2024-10-04T00:00:00Z","Voided","Google","USD",1177.609955,"invoicedetail-642895","2024-10-18T00:00:00Z","Net 60","PO-838237","referenceinvoice-567951"
1226.374219,"billingaccount-994253","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-12T00:00:00Z","InvoiceDetailDescription 8406","{}","invoicedetail-281043","2024-10-05T00:00:00Z","invoice-848022","2024-10-05T00:00:00Z","Issued","Microsoft","USD",9972.62404,"invoicedetail-281043","2024-10-18T00:00:00Z","Due on receipt","PO-986593","referenceinvoice-435112"
8913.316824,"billingaccount-992717","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-29T00:00:00Z","InvoiceDetailDescription 3852","{}","invoicedetail-932250","2024-10-09T00:00:00Z","invoice-479052","2024-10-06T00:00:00Z","Voided","Google","USD",2242.416152,"invoicedetail-932250","2024-10-22T00:00:00Z","Net 30","PO-930541","referenceinvoice-245622"
5722.774071,"billingaccount-590110","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-16T00:00:00Z","InvoiceDetailDescription 3126","{}","invoicedetail-741674","2024-10-01T00:00:00Z","invoice-190403","2024-10-04T00:00:00Z","Open","Microsoft","USD",3092.907175,"invoicedetail-741674","2024-10-28T00:00:00Z","Due on receipt","PO-853789","referenceinvoice-601916"
9723.797315,"billingaccount-773540","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-18T00:00:00Z","InvoiceDetailDescription 8372","{}","invoicedetail-588461","2024-10-10T00:00:00Z","invoice-813145","2024-10-02T00:00:00Z","Voided","Oracle","USD",3445.147807,"invoicedetail-588461","2024-10-13T00:00:00Z","Due on receipt","PO-770872","referenceinvoice-716338"
8313.908065,"billingaccount-643269","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-27T00:00:00Z","InvoiceDetailDescription 5982","{}","invoicedetail-272655","2024-10-07T00:00:00Z","invoice-269834","2024-10-06T00:00:00Z","Issued","Microsoft","USD",9347.378366,"invoicedetail-272655","2024-10-14T00:00:00Z","Net 30","PO-462831","referenceinvoice-644103"
9563.51627,"billingaccount-387782","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-29T00:00:00Z","InvoiceDetailDescription 5961","{}","invoicedetail-744274","2024-10-05T00:00:00Z","invoice-659392","2024-10-03T00:00:00Z","Open","Google","USD",5025.731447,"invoicedetail-744274","2024-10-30T00:00:00Z","Net 30","PO-720556","referenceinvoice-708851"
9020.008937,"billingaccount-454019","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-26T00:00:00Z","InvoiceDetailDescription 1674","{}","invoicedetail-965322","2024-10-11T00:00:00Z","invoice-129751","2024-10-06T00:00:00Z","Open","Microsoft","USD",454.618033,"invoicedetail-965322","2024-11-05T00:00:00Z","Due on receipt","PO-908475","referenceinvoice-704788"
6389.911922,"billingaccount-622230","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-25T00:00:00Z","InvoiceDetailDescription 5745","{}","invoicedetail-773088","2024-10-10T00:00:00Z","invoice-416768","2024-10-05T00:00:00Z","Issued","Google","USD",2448.779106,"invoicedetail-773088","2024-10-31T00:00:00Z","Due on receipt","PO-525818","referenceinvoice-411882"
4156.217462,"billingaccount-587002","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-29T00:00:00Z","InvoiceDetailDescription 6573","{}","invoicedetail-736129","2024-10-01T00:00:00Z","invoice-250647","2024-10-03T00:00:00Z","Issued","Oracle","USD",8614.850768,"invoicedetail-736129","2024-10-24T00:00:00Z","Net 60","PO-869864","referenceinvoice-462147"
1061.839336,"billingaccount-353480","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-27T00:00:00Z","InvoiceDetailDescription 3007","{}","invoicedetail-380464","2024-10-06T00:00:00Z","invoice-571435","2024-10-06T00:00:00Z","Open","Oracle","USD",1408.77635,"invoicedetail-380464","2024-10-30T00:00:00Z","Net 30","PO-404309","referenceinvoice-502810"
7211.284288,"billingaccount-299055","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-24T00:00:00Z","InvoiceDetailDescription 9163","{}","invoicedetail-639728","2024-10-03T00:00:00Z","invoice-589491","2024-10-04T00:00:00Z","Issued","Oracle","USD",8790.756636,"invoicedetail-639728","2024-10-29T00:00:00Z","Net 60","PO-124302","referenceinvoice-194423"
5833.44112,"billingaccount-151021","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-15T00:00:00Z","InvoiceDetailDescription 5609","{}","invoicedetail-618934","2024-10-08T00:00:00Z","invoice-726543","2024-10-03T00:00:00Z","Voided","Oracle","USD",6725.206038,"invoicedetail-618934","2024-10-16T00:00:00Z","Net 60","PO-662761","referenceinvoice-108574"
3657.776398,"billingaccount-522842","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-18T00:00:00Z","InvoiceDetailDescription 1741","{}","invoicedetail-520040","2024-10-03T00:00:00Z","invoice-153642","2024-10-04T00:00:00Z","Voided","AWS","USD",5618.168652,"invoicedetail-520040","2024-11-03T00:00:00Z","Net 60","PO-680096","referenceinvoice-402620"
2797.206776,"billingaccount-753516","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-19T00:00:00Z","InvoiceDetailDescription 2946","{}","invoicedetail-234913","2024-10-09T00:00:00Z","invoice-201377","2024-10-05T00:00:00Z","Issued","AWS","USD",3731.983363,"invoicedetail-234913","2024-10-29T00:00:00Z","Net 60","PO-684929","referenceinvoice-483366"
5000.779036,"billingaccount-147504","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-25T00:00:00Z","InvoiceDetailDescription 3245","{}","invoicedetail-848255","2024-10-10T00:00:00Z","invoice-449218","2024-10-06T00:00:00Z","Issued","Microsoft","USD",5193.327103,"invoicedetail-848255","2024-10-25T00:00:00Z","Net 30","PO-735710","referenceinvoice-640546"
3929.545879,"billingaccount-746447","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-21T00:00:00Z","InvoiceDetailDescription 6511","{}","invoicedetail-631958","2024-10-10T00:00:00Z","invoice-968524","2024-10-04T00:00:00Z","Voided","Microsoft","USD",5323.398299,"invoicedetail-631958","2024-10-16T00:00:00Z","Due on receipt","PO-690268","referenceinvoice-414353"
1096.045895,"billingaccount-536774","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-31T00:00:00Z","InvoiceDetailDescription 6040","{}","invoicedetail-935457","2024-10-06T00:00:00Z","invoice-860557","2024-10-04T00:00:00Z","Voided","Oracle","USD",6292.604806,"invoicedetail-935457","2024-11-01T00:00:00Z","Due on receipt","PO-597643","referenceinvoice-378428"
5242.323326,"billingaccount-856215","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-30T00:00:00Z","InvoiceDetailDescription 7229","{}","invoicedetail-254954","2024-10-10T00:00:00Z","invoice-961574","2024-10-05T00:00:00Z","Voided","Microsoft","USD",2421.965601,"invoicedetail-254954","2024-10-17T00:00:00Z","Due on receipt","PO-834549","referenceinvoice-215233"
1514.312581,"billingaccount-824042","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-31T00:00:00Z","InvoiceDetailDescription 7723","{}","invoicedetail-626195","2024-10-08T00:00:00Z","invoice-912617","2024-10-04T00:00:00Z","Voided","Microsoft","USD",9205.209499,"invoicedetail-626195","2024-10-24T00:00:00Z","Due on receipt","PO-862736","referenceinvoice-165306"
9981.228684,"billingaccount-601608","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-15T00:00:00Z","InvoiceDetailDescription 7173","{}","invoicedetail-428993","2024-10-04T00:00:00Z","invoice-281594","2024-10-06T00:00:00Z","Issued","Microsoft","USD",9121.241609,"invoicedetail-428993","2024-10-23T00:00:00Z","Net 60","PO-672808","referenceinvoice-471496"
2790.063959,"billingaccount-412999","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-12T00:00:00Z","InvoiceDetailDescription 5876","{}","invoicedetail-908634","2024-10-08T00:00:00Z","invoice-403042","2024-10-03T00:00:00Z","Voided","Google","USD",2072.777949,"invoicedetail-908634","2024-10-17T00:00:00Z","Due on receipt","PO-612756","referenceinvoice-432441"
1218.741057,"billingaccount-809489","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-20T00:00:00Z","InvoiceDetailDescription 7220","{}","invoicedetail-513697","2024-10-09T00:00:00Z","invoice-958130","2024-10-04T00:00:00Z","Issued","Oracle","USD",9546.088634,"invoicedetail-513697","2024-10-20T00:00:00Z","Net 30","PO-404561","referenceinvoice-144109"
2564.439755,"billingaccount-602351","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-29T00:00:00Z","InvoiceDetailDescription 4310","{}","invoicedetail-968170","2024-10-06T00:00:00Z","invoice-664739","2024-10-05T00:00:00Z","Issued","Google","USD",9330.239338,"invoicedetail-968170","2024-11-01T00:00:00Z","Due on receipt","PO-384815","referenceinvoice-243941"
507.6543,"billingaccount-656837","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-12T00:00:00Z","InvoiceDetailDescription 4814","{}","invoicedetail-155040","2024-10-10T00:00:00Z","invoice-205065","2024-10-03T00:00:00Z","Issued","AWS","USD",3302.936235,"invoicedetail-155040","2024-10-17T00:00:00Z","Net 60","PO-205428","referenceinvoice-814281"
6528.927977,"billingaccount-598807","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-31T00:00:00Z","InvoiceDetailDescription 4267","{}","invoicedetail-892630","2024-10-09T00:00:00Z","invoice-401198","2024-10-03T00:00:00Z","Issued","Microsoft","USD",2854.153413,"invoicedetail-892630","2024-10-23T00:00:00Z","Net 30","PO-906066","referenceinvoice-193806"
8822.449732,"billingaccount-284327","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-14T00:00:00Z","InvoiceDetailDescription 7504","{}","invoicedetail-926236","2024-10-01T00:00:00Z","invoice-619447","2024-10-03T00:00:00Z","Open","Microsoft","USD",9366.087448,"invoicedetail-926236","2024-10-23T00:00:00Z","Net 60","PO-139286","referenceinvoice-109717"
2845.616524,"billingaccount-772464","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-13T00:00:00Z","InvoiceDetailDescription 9590","{}","invoicedetail-617904","2024-10-10T00:00:00Z","invoice-240718","2024-10-02T00:00:00Z","Voided","Google","USD",4680.20769,"invoicedetail-617904","2024-10-19T00:00:00Z","Net 30","PO-948102","referenceinvoice-218118"
1861.990691,"billingaccount-872399","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-26T00:00:00Z","InvoiceDetailDescription 5833","{}","invoicedetail-695361","2024-10-08T00:00:00Z","invoice-807160","2024-10-04T00:00:00Z","Open","Google","USD",1754.949138,"invoicedetail-695361","2024-11-02T00:00:00Z","Due on receipt","PO-525187","referenceinvoice-967161"
6692.558534,"billingaccount-293757","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-15T00:00:00Z","InvoiceDetailDescription 8822","{}","invoicedetail-439320","2024-10-06T00:00:00Z","invoice-360096","2024-10-02T00:00:00Z","Open","Oracle","USD",2607.852771,"invoicedetail-439320","2024-10-21T00:00:00Z","Net 30","PO-568436","referenceinvoice-890371"
5728.773476,"billingaccount-374258","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-21T00:00:00Z","InvoiceDetailDescription 4871","{}","invoicedetail-165142","2024-10-05T00:00:00Z","invoice-800224","2024-10-06T00:00:00Z","Open","Google","USD",4653.949909,"invoicedetail-165142","2024-11-05T00:00:00Z","Net 30","PO-525110","referenceinvoice-819400"
6146.254481,"billingaccount-329772","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-28T00:00:00Z","InvoiceDetailDescription 8834","{}","invoicedetail-260626","2024-10-11T00:00:00Z","invoice-577079","2024-10-04T00:00:00Z","Voided","Google","USD",9888.379619,"invoicedetail-260626","2024-10-22T00:00:00Z","Net 60","PO-536045","referenceinvoice-836038"
6803.419199,"billingaccount-724756","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-14T00:00:00Z","InvoiceDetailDescription 9609","{}","invoicedetail-568449","2024-10-11T00:00:00Z","invoice-653829","2024-10-03T00:00:00Z","Voided","Oracle","USD",3617.848685,"invoicedetail-568449","2024-10-17T00:00:00Z","Due on receipt","PO-217659","referenceinvoice-164758"
3281.176377,"billingaccount-645617","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-13T00:00:00Z","InvoiceDetailDescription 2904","{}","invoicedetail-813341","2024-10-09T00:00:00Z","invoice-315379","2024-10-03T00:00:00Z","Voided","Microsoft","USD",5831.476784,"invoicedetail-813341","2024-10-15T00:00:00Z","Net 30","PO-635167","referenceinvoice-567122"
4567.984757,"billingaccount-160541","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-17T00:00:00Z","InvoiceDetailDescription 8575","{}","invoicedetail-805448","2024-10-03T00:00:00Z","invoice-946112","2024-10-06T00:00:00Z","Issued","AWS","USD",7232.800798,"invoicedetail-805448","2024-10-26T00:00:00Z","Net 60","PO-366817","referenceinvoice-956113"
4236.973848,"billingaccount-834406","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-25T00:00:00Z","InvoiceDetailDescription 9866","{}","invoicedetail-163182","2024-10-10T00:00:00Z","invoice-172371","2024-10-02T00:00:00Z","Issued","AWS","USD",317.34871,"invoicedetail-163182","2024-10-10T00:00:00Z","Net 60","PO-288724","referenceinvoice-906325"
8696.202853,"billingaccount-495833","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-18T00:00:00Z","InvoiceDetailDescription 2314","{}","invoicedetail-815894","2024-10-06T00:00:00Z","invoice-793939","2024-10-05T00:00:00Z","Voided","Microsoft","USD",1329.898063,"invoicedetail-815894","2024-10-26T00:00:00Z","Net 60","PO-224395","referenceinvoice-287143"
7561.794149,"billingaccount-412856","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-15T00:00:00Z","InvoiceDetailDescription 9920","{}","invoicedetail-544730","2024-10-03T00:00:00Z","invoice-657772","2024-10-03T00:00:00Z","Issued","Oracle","USD",8233.604374,"invoicedetail-544730","2024-10-10T00:00:00Z","Net 30","PO-583000","referenceinvoice-462974"
8094.781835,"billingaccount-539605","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-23T00:00:00Z","InvoiceDetailDescription 1256","{}","invoicedetail-352356","2024-10-04T00:00:00Z","invoice-316092","2024-10-02T00:00:00Z","Open","Microsoft","USD",1008.967131,"invoicedetail-352356","2024-10-10T00:00:00Z","Net 30","PO-568127","referenceinvoice-726822"
2343.392785,"billingaccount-327823","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-24T00:00:00Z","InvoiceDetailDescription 3295","{}","invoicedetail-628373","2024-10-01T00:00:00Z","invoice-403314","2024-10-05T00:00:00Z","Open","AWS","USD",8157.862568,"invoicedetail-628373","2024-10-26T00:00:00Z","Due on receipt","PO-704095","referenceinvoice-434394"
5212.510543,"billingaccount-533649","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-24T00:00:00Z","InvoiceDetailDescription 5508","{}","invoicedetail-163918","2024-10-05T00:00:00Z","invoice-683761","2024-10-03T00:00:00Z","Voided","Google","USD",8797.13891,"invoicedetail-163918","2024-10-31T00:00:00Z","Net 30","PO-756401","referenceinvoice-811721"
9415.864098,"billingaccount-803953","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-14T00:00:00Z","InvoiceDetailDescription 9592","{}","invoicedetail-434217","2024-10-08T00:00:00Z","invoice-830132","2024-10-02T00:00:00Z","Issued","Oracle","USD",4082.591768,"invoicedetail-434217","2024-10-20T00:00:00Z","Net 60","PO-494747","referenceinvoice-292811"
1443.517492,"billingaccount-585517","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-24T00:00:00Z","InvoiceDetailDescription 7761","{}","invoicedetail-536740","2024-10-04T00:00:00Z","invoice-684357","2024-10-04T00:00:00Z","Voided","Oracle","USD",1340.927511,"invoicedetail-536740","2024-11-02T00:00:00Z","Net 30","PO-367382","referenceinvoice-313214"
5356.355363,"billingaccount-969695","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-29T00:00:00Z","InvoiceDetailDescription 1844","{}","invoicedetail-381502","2024-10-08T00:00:00Z","invoice-495489","2024-10-04T00:00:00Z","Voided","Google","USD",6049.694464,"invoicedetail-381502","2024-10-13T00:00:00Z","Net 30","PO-176319","referenceinvoice-297303"
9570.197605,"billingaccount-116078","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-16T00:00:00Z","InvoiceDetailDescription 4113","{}","invoicedetail-877493","2024-10-04T00:00:00Z","invoice-223014","2024-10-04T00:00:00Z","Voided","Microsoft","USD",9995.72007,"invoicedetail-877493","2024-10-20T00:00:00Z","Net 60","PO-354377","referenceinvoice-829417"
7755.138821,"billingaccount-499152","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-19T00:00:00Z","InvoiceDetailDescription 9743","{}","invoicedetail-780233","2024-10-04T00:00:00Z","invoice-476710","2024-10-06T00:00:00Z","Issued","Microsoft","USD",2615.616274,"invoicedetail-780233","2024-10-23T00:00:00Z","Due on receipt","PO-621433","referenceinvoice-588640"
3129.220189,"billingaccount-147936","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-16T00:00:00Z","InvoiceDetailDescription 4625","{}","invoicedetail-877259","2024-10-06T00:00:00Z","invoice-253011","2024-10-03T00:00:00Z","Open","AWS","USD",2607.741099,"invoicedetail-877259","2024-10-21T00:00:00Z","Due on receipt","PO-707275","referenceinvoice-854987"
2300.18626,"billingaccount-697467","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-22T00:00:00Z","InvoiceDetailDescription 9180","{}","invoicedetail-677390","2024-10-03T00:00:00Z","invoice-786406","2024-10-03T00:00:00Z","Voided","Oracle","USD",3375.64284,"invoicedetail-677390","2024-10-20T00:00:00Z","Net 60","PO-858705","referenceinvoice-772865"
1399.585286,"billingaccount-673095","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-17T00:00:00Z","InvoiceDetailDescription 4015","{}","invoicedetail-668471","2024-10-03T00:00:00Z","invoice-772985","2024-10-04T00:00:00Z","Open","Oracle","USD",5239.444154,"invoicedetail-668471","2024-10-16T00:00:00Z","Net 30","PO-957730","referenceinvoice-800674"
2314.333921,"billingaccount-841521","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-31T00:00:00Z","InvoiceDetailDescription 1149","{}","invoicedetail-329344","2024-10-07T00:00:00Z","invoice-630299","2024-10-03T00:00:00Z","Issued","AWS","USD",3732.006927,"invoicedetail-329344","2024-10-30T00:00:00Z","Due on receipt","PO-768706","referenceinvoice-799143"
5516.435609,"billingaccount-112426","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-16T00:00:00Z","InvoiceDetailDescription 9673","{}","invoicedetail-857273","2024-10-01T00:00:00Z","invoice-388086","2024-10-02T00:00:00Z","Voided","Oracle","USD",9774.793482,"invoicedetail-857273","2024-10-26T00:00:00Z","Net 30","PO-626611","referenceinvoice-952657"
1488.974857,"billingaccount-301255","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-26T00:00:00Z","InvoiceDetailDescription 9625","{}","invoicedetail-364679","2024-10-02T00:00:00Z","invoice-954814","2024-10-02T00:00:00Z","Issued","Oracle","USD",2673.247367,"invoicedetail-364679","2024-10-25T00:00:00Z","Net 60","PO-182857","referenceinvoice-491172"
2258.572526,"billingaccount-817269","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-17T00:00:00Z","InvoiceDetailDescription 1519","{}","invoicedetail-198042","2024-10-10T00:00:00Z","invoice-524965","2024-10-03T00:00:00Z","Issued","Oracle","USD",3771.695685,"invoicedetail-198042","2024-11-01T00:00:00Z","Net 60","PO-158840","referenceinvoice-767678"
6449.072419,"billingaccount-447362","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-26T00:00:00Z","InvoiceDetailDescription 2562","{}","invoicedetail-653815","2024-10-02T00:00:00Z","invoice-144618","2024-10-05T00:00:00Z","Open","AWS","USD",2114.170559,"invoicedetail-653815","2024-10-25T00:00:00Z","Due on receipt","PO-694316","referenceinvoice-598598"
5635.09864,"billingaccount-134500","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-30T00:00:00Z","InvoiceDetailDescription 6152","{}","invoicedetail-116418","2024-10-02T00:00:00Z","invoice-317221","2024-10-04T00:00:00Z","Voided","Google","USD",1441.915613,"invoicedetail-116418","2024-10-28T00:00:00Z","Due on receipt","PO-960778","referenceinvoice-517643"
5666.959199,"billingaccount-990704","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-22T00:00:00Z","InvoiceDetailDescription 9856","{}","invoicedetail-447843","2024-10-03T00:00:00Z","invoice-502491","2024-10-06T00:00:00Z","Voided","AWS","USD",1399.505942,"invoicedetail-447843","2024-10-20T00:00:00Z","Due on receipt","PO-859340","referenceinvoice-182237"
8386.746576,"billingaccount-457137","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-30T00:00:00Z","InvoiceDetailDescription 7499","{}","invoicedetail-911131","2024-10-02T00:00:00Z","invoice-442230","2024-10-05T00:00:00Z","Open","Google","USD",6341.229474,"invoicedetail-911131","2024-10-19T00:00:00Z","Net 60","PO-614435","referenceinvoice-339220"
6796.948581,"billingaccount-792764","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-14T00:00:00Z","InvoiceDetailDescription 2404","{}","invoicedetail-909676","2024-10-07T00:00:00Z","invoice-748665","2024-10-05T00:00:00Z","Issued","Google","USD",7980.551738,"invoicedetail-909676","2024-10-17T00:00:00Z","Due on receipt","PO-177077","referenceinvoice-186023"
3896.219754,"billingaccount-478221","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-27T00:00:00Z","InvoiceDetailDescription 2499","{}","invoicedetail-105447","2024-10-07T00:00:00Z","invoice-423241","2024-10-03T00:00:00Z","Issued","Google","USD",3599.174973,"invoicedetail-105447","2024-11-02T00:00:00Z","Net 60","PO-207197","referenceinvoice-238943"
5547.400006,"billingaccount-527865","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-26T00:00:00Z","InvoiceDetailDescription 1430","{}","invoicedetail-193972","2024-10-07T00:00:00Z","invoice-471106","2024-10-05T00:00:00Z","Voided","AWS","USD",930.642605,"invoicedetail-193972","2024-10-29T00:00:00Z","Due on receipt","PO-922543","referenceinvoice-440189"
7791.691056,"billingaccount-860053","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-31T00:00:00Z","InvoiceDetailDescription 4977","{}","invoicedetail-699743","2024-10-05T00:00:00Z","invoice-646417","2024-10-05T00:00:00Z","Open","Oracle","USD",6853.159918,"invoicedetail-699743","2024-10-24T00:00:00Z","Net 30","PO-245584","referenceinvoice-381981"
1672.074008,"billingaccount-389366","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-23T00:00:00Z","InvoiceDetailDescription 5911","{}","invoicedetail-607753","2024-10-08T00:00:00Z","invoice-920685","2024-10-03T00:00:00Z","Open","Google","USD",3611.249123,"invoicedetail-607753","2024-10-12T00:00:00Z","Net 30","PO-855917","referenceinvoice-755395"
1069.723676,"billingaccount-419457","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-12T00:00:00Z","InvoiceDetailDescription 7483","{}","invoicedetail-448354","2024-10-10T00:00:00Z","invoice-982495","2024-10-03T00:00:00Z","Voided","Oracle","USD",3798.899561,"invoicedetail-448354","2024-10-24T00:00:00Z","Net 60","PO-561607","referenceinvoice-450996"
6032.112684,"billingaccount-829066","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-12T00:00:00Z","InvoiceDetailDescription 8848","{}","invoicedetail-429445","2024-10-03T00:00:00Z","invoice-286266","2024-10-04T00:00:00Z","Issued","Oracle","USD",9687.252217,"invoicedetail-429445","2024-10-21T00:00:00Z","Net 60","PO-870571","referenceinvoice-828716"
2803.001465,"billingaccount-924040","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-13T00:00:00Z","InvoiceDetailDescription 6980","{}","invoicedetail-219420","2024-10-04T00:00:00Z","invoice-691240","2024-10-04T00:00:00Z","Open","Oracle","USD",5922.270343,"invoicedetail-219420","2024-10-23T00:00:00Z","Due on receipt","PO-288667","referenceinvoice-814827"
